"sentence","noun_phrase","grammatical","corrected"
"Similar situation happened if the ablative clitic is used in the sentences that have a static verb like in ( 5 ) .","that","yes","that"
"Similar situation happened if the ablative clitic is used in the sentences that have a static verb like in ( 5 ) .","a static verb","yes","a static verb"
"The expression of time in Iraqw is very limited and very often benefits from the extension of spatial markers .","The expression","yes","The expression"
"The expression of time in Iraqw is very limited and very often benefits from the extension of spatial markers .","spatial markers","yes","spatial markers"
"The expression of time in Iraqw is very limited and very often benefits from the extension of spatial markers .","Iraqw","yes","Iraqw"
"The expression of time in Iraqw is very limited and very often benefits from the extension of spatial markers .","time","yes","time"
"The expression of time in Iraqw is very limited and very often benefits from the extension of spatial markers .","Iraqw","yes","Iraqw"
"The expression of time in Iraqw is very limited and very often benefits from the extension of spatial markers .","the extension","yes","the extension"
"The expression of time in Iraqw is very limited and very often benefits from the extension of spatial markers .","spatial markers","yes","spatial markers"
"SUFFIX - PIYI IN CREE","CREE","yes","CREE"
"SUFFIX - PIYI IN CREE","CREE","yes","CREE"
"SUFFIX - PIYI IN CREE","SUFFIX - PIYI","yes","SUFFIX - PIYI"
"Cree is one of the languages spoken in North America .","Cree","yes","Cree"
"Cree is one of the languages spoken in North America .","the languages","yes","the languages"
"Cree is one of the languages spoken in North America .","North America","yes","North America"
"It belongs to the family of Algonquian languages along with many other languages .","It","yes","It"
"It belongs to the family of Algonquian languages along with many other languages .","the family","yes","the family"
"It belongs to the family of Algonquian languages along with many other languages .","Algonquian languages","yes","Algonquian languages"
"It belongs to the family of Algonquian languages along with many other languages .","many other languages","yes","many other languages"
"The aim of the current essay is to briefly outline the mains points in Brittain and Acton and focus on the potential elaboration of their paper with the usage of the notion of path .","The aim","yes","The aim"
"The aim of the current essay is to briefly outline the mains points in Brittain and Acton and focus on the potential elaboration of their paper with the usage of the notion of path .","the current essay","yes","the current essay"
"The aim of the current essay is to briefly outline the mains points in Brittain and Acton and focus on the potential elaboration of their paper with the usage of the notion of path .","the mains points","no","main points"
"The aim of the current essay is to briefly outline the mains points in Brittain and Acton and focus on the potential elaboration of their paper with the usage of the notion of path .","Brittain","yes","Brittain"
"The aim of the current essay is to briefly outline the mains points in Brittain and Acton and focus on the potential elaboration of their paper with the usage of the notion of path .","Acton","yes","Acton"
"The aim of the current essay is to briefly outline the mains points in Brittain and Acton and focus on the potential elaboration of their paper with the usage of the notion of path .","the potential elaboration","yes","the potential elaboration"
"The aim of the current essay is to briefly outline the mains points in Brittain and Acton and focus on the potential elaboration of their paper with the usage of the notion of path .","their paper","yes","their paper"
"The aim of the current essay is to briefly outline the mains points in Brittain and Acton and focus on the potential elaboration of their paper with the usage of the notion of path .","the usage","no","usage"
"The aim of the current essay is to briefly outline the mains points in Brittain and Acton and focus on the potential elaboration of their paper with the usage of the notion of path .","the notion","yes","the notion"
"The aim of the current essay is to briefly outline the mains points in Brittain and Acton and focus on the potential elaboration of their paper with the usage of the notion of path .","path","yes","path"
"The suffix -piyi means move and its role is to provide an internal argument .","The suffix -piyi","yes","The suffix -piyi"
